Key,SourceString,Comment

Building.Action.Upgrade,"Upgrade",

Building.TestHouse.Name,"Test House",
Building.TestHouse.Desc,"A Test House, made for testing unit spawn and residence mechanics",
Building.SlimeWell.Name,"Slimy Well",
Building.SlimeWell.Desc,"A well filled with slimy water. Hydrates your heroes, but also occasionally spawns slimes.",
Building.SkeleHouse.Name,"Destroyed House",
Building.SkeleHouse.Desc,"This house has been destroyed, but something tells you the previous tenants don't want to talk about it.",

Building.Castle.Name,"Royal Palace",
Building.Castle.Desc,"Once, all Palaces in Ardania were built according to plans designed by Adolphus - the engineering genius from Volensia. Three hundred years ago, at a meeting of the Royal Supreme Court, The Dwarves were able to prove that Adolphus stole their ideas. The Court set such high licensing fees for use of the old plans, that the monarch and other lords hastened to build new, uniquely designed, houses. And Adolphus' four-towered Palaces have been abandoned monuments ever since.",
Building.GuildRanger.Name,"Ranger's Guild",
Building.GuildRanger.Desc,"The simple tents of the Rangers Guild bely the power and influence of its heroes. Once it seemed as though the days of Rangers Guild were numbered: Ardania was united, its enemies defeated and the wild lands tamed. What sort of life was left for restless spirits of Ardania's pathfinders? The guild was saved by Allar Halfmein, the First Master of the Hunt. He persuaded the Monarch to sign a decree giving Rangers Guild status as the sole provider of Royal Cartography. Now all matters of land and territory need a stamp of approval from the Rangers Guild.",
Building.GuildWarrior.Name,"Warrior's Guild",
Building.GuildWarrior.Desc,"Thick stone walls, battlements, bright flags - the look of the Warriors Guild represents the dignity, valor and strength of those who dwell within it.\n\nTraditionally, only those of noble blood could gain admittance into the Warriors Guild. In our dark times, recruits are rare, and the Guild has had to relax its standards (though certainly not its standards of courage). After years of harsh training, those with the martial prowess to survive are given weapons, a title, and a non-seasonal monster hunting. ",
Building.GuildWizard.Name,"Wizard's Guild",
Building.GuildWizard.Desc,"The Wizards Guild is the most enigmatic guilds in Ardania. Not because the mages hide their secrets - their door is pretty much always wide open (the popular theory being that they lost the key and can't be bothered to find it). No, it's the warning signs just over the door that do it: ""Caution! Danger! High-energy magic! Visitors may experience discomfort, loss of hearing, dizzines, liquified vertebrae, loss of limbs, surplus of limbs, upset stomach, heartburn and post-nasal drip. Enter at your own risk!"" In general, except for mages, few venture further into the Wizards Guild than the gift shop.",
Building.GuildCleric.Name,"Cleric's Guild",
Building.GuildCleric.Desc,"Years ago, the Godesses of Life and Death are agreed to a wager. They'd create an institution of learning for young women, train them in arts of healing, combat and piety and see to whom they'd pay homage: Agrela, the Godess of Healing and Life or Krypta, the Godess of Necromancy and Death. And so the Clerics Guild was created. Other gods were shocked by this, but over time, such method of gods servants education become widely accepted.",

Building.Market.Name,"Marketplace",
Building.Market.Desc,"For many centuries, Marketplaces have been the centers of commerce in Ardania. In their stalls and scantily lit pavilions, the curious adventurer can find anything: potions, ancient artifacts, spices or food. (Though buyer beware: it's rumored some of those products have been sitting on the shelves since the invention of money!)\n\nBy prudent tradition, monarchs built Marketplaces in convenient and well-protected areas.",
Building.Blacksmith.Name,"Blacksmith",
Building.Blacksmith.Desc,"Every blacksmith in Ardania must be a member of the "Fellowship of the Forge". This Fellowship defines everything - from the plan of the shop, to the size of the doors and anvils! To get the badge of a master blacksmith, apprentices train for years, making metal scoops, whistles, horseshoes and nails. But with all that training and toil comes the ability to craft quality weapons and armor for Ardania's discerning heroes!",

Building.House.Name,"Peasant House",
Building.House.Desc,"Nothing special. Just the home of some anonymous peasant.",
Building.Sewer.Name,"Sewer",
Building.Sewer.Desc,"A sewer that looks suspiciously like well...",
Building.Cemetery.Name,"Cemetery",
Building.Cemetery.Desc,"Dead heroes are here. Sometimes other baddies too.",
